关卡牌局代码,地形编号,开始次数,净过关次数,净胜率(%),ReplayCode,模拟胜利,模拟失败,模拟胜率(%),模拟平均步数,耗时ms,地形总牌数
7-2-1-12-1442763123,200007,7008,6573,93.79,Y7Hkqg061fxM0+woAwMjAxMTEDMCWUyMjMxMQAEWVpAIGzMjkGRgBlIs7Mwc7GwMbJycrKwcHJzMLOxMDM++AQA=,200,0,100.00,57.0,259,57
6-6-9-8-904838019,100008,6976,5349,76.68,Y9HikF5it/it5dZKBkYmRmYWVmZWNmZmBkYWRlZWZnZmIJuNjYWdjZ2VhYmVhYGZiZGNhZGBpx4A,199,1,99.50,42.0,103,42
3-6-9-6-1513937923,100001,6906,6541,94.71,Y5Fg9ph+Z/HFllyDhkZGRiYGJgYGKAmkQQIgxMjkcBQA,200,0,100.00,22.0,46,24
4-9-6-10-1453691158,200012,6879,5456,79.31,DclBFYBQCATA5S8s4NkAprCQDexhAsNYwiI+C+hcx9dpvs/9WN4LMAzQGTBlDXog1GFD3UkqM/xvera8lNFdxPZ8,200,0,100.00,54.0,246,54
9-2-5-12-59138711,100040,6749,4146,61.43,YzHguudi6v+6dHMsAyMDEzMLKxMbOyMDKzsrOwcnOwMjOwcHOwMTJzMTIxMbUJKBhYGNkZUVpJST4V0SAA==,194,6,97.00,48.0,241,48
3-2-5-12-611651086,100010,6745,3172,47.03,YzHjSbDsad6yKrSTgZGJmYWVjZ2Bg4OTg4OLm4uTgxMIuLi4Obi4GBm4GDjYWVnYmJmAfCZmNhZWdg6gGCPDU2EA,154,46,77.00,54.0,192,54
4-3-3-8-870315622,100040,6548,4750,72.54,DcoxAYBADAPAtGnSl8OCA3YUIANlbIjBACb+txuutvEd+/nfzwVEMrIEBRN2G9Ftg8uSuplUZaxkGngn,199,1,99.50,48.0,353,48
3-2-6-11-126216040,200010,6535,3692,56.5,Fca7DYAwDATQS+zkzmYWBqCgzKRMQ8UMSCxBxad40vNlGve6Heezo1SYt95JMX4l5U1SfBeZsEgEK1PMrIXozeC45hc=,160,40,80.00,57.0,245,57
3-9-1-10-201440351,100010,6524,5500,84.3,YzHjSLDsad6yKrSTgZGJkZmFlYWVkZGFhY2ZnY2ZmZmNjZ2ZmQUkwAAWZ2ZiZGVjZ2NlZAKJsgJFGV7yAAA=,200,0,100.00,54.0,287,54
8-9-1-14-1295604928,100004,6363,4030,63.33,BcGxDYAwDATAt/1O3kFiIoagySb0jIiEqCmYhDtuy/Pt9/muEzC4IZiI1pUS3SoyNEhKyISaO8oiKkdXt+GN5hCO6wc=,199,1,99.50,60.0,213,60
5-5-6-9-1619448877,100002,6307,5730,90.85,Y1HntDrKMfF9W+RuBkYmZhZWFlY2NjYWdg5mBiZGEMnCygokGJiZWFkZOJjZGVkYcjwB,200,0,100.00,39.0,58,39
9-6-7-14-766835731,200012,6241,1375,22.03,YzHjE7kyu6hX4fN+BkZGJkZmBhZWNgZ2EODg5GJk5WblZGTk4WVhZ2RhY+NiZeZi5mZl5OTlYGLi5gGKc7AyyDYAAA==,117,83,58.50,54.0,112,54
9-9-5-14-1679917473,200007,6192,4017,64.87,BcFLFYAwDATAbbpJk37wUQO8hw38cEIMSrhwwQU6mOG2HPtzfnO9kSRTVWgGmCYiS/GoqrX1IjYG1QpMYjTSe83dI6EJ3usH,187,13,93.50,57.0,133,57
5-9-8-11-1258708744,200004,6138,4383,71.41,Dcm9GUBQDAXQ5N7k5cdHYwa9HdUmMY9CYxZOe2yf3m1ez+NZRAEa6EM9kJkFZEdZD5JCG4XOqMI/Ki739QE=,198,2,99.00,48.0,115,48
5-8-2-15-1267562710,200007,6080,869,14.29,DcixDYAwDATAt2O/4yQMwgJIzEDHPlRshkTDIMwBV56t07E/5zsvNyDQYk56sEoCajW1Ndf+3yC7h0MDQNEcvdRBaxRs1wc=,25,175,12.50,57.0,103,57
2-9-7-10-2054288810,200003,6018,4803,79.81,Y9HiNDo2L70p+KILAyMjEyMDMwsrAwMDGxMjGzsbGwcbIzMbAyMrI5BmYefgYGNhYmNnZGVwlgEA,197,3,98.50,42.0,131,42
