关卡牌局代码,地形编号,开始次数,净过关次数,在线胜率(%),模拟胜率(%),差值(sim-online),绝对差值,模拟胜利,模拟失败,模拟平均步数,耗时ms,地形总牌数
1-5-8-17-297179540,400015,525,449,85.52,96.50,10.98,10.98,193,7,90.0,965,90
9-8-9-12-355231570,100083,524,339,64.69,84.00,19.31,19.31,168,32,90.0,961,90
3-1-1-10-961783031,200004,522,406,77.78,100.00,22.22,22.22,200,0,48.0,182,48
1-7-9-19-1486367018,100058,521,420,80.61,98.00,17.39,17.39,196,4,84.0,1163,84
8-4-3-17-1005383368,100096,521,218,41.84,82.00,40.16,40.16,164,36,96.0,1267,96
8-1-5-20-1090742368,100084,520,219,42.12,97.00,54.88,54.88,194,6,102.0,3162,102
1-6-2-17-304175527,100097,520,454,87.31,100.00,12.69,12.69,200,0,84.0,525,84
9-5-4-11-1078332884,100026,519,236,45.47,99.50,54.03,54.03,199,1,54.0,167,54
4-4-4-8-470435494,100048,518,398,76.83,100.00,23.17,23.17,200,0,66.0,1133,66
4-8-7-21-1794611860,100078,518,196,37.84,81.00,43.16,43.16,162,38,81.0,618,81
1-5-2-25-331019159,100063,518,255,49.23,85.00,35.77,35.77,170,30,99.0,1034,99
7-2-4-22-1724793846,400017,518,283,54.63,97.50,42.87,42.87,195,5,117.0,968,117
8-3-7-10-618058843,100030,517,369,71.37,98.50,27.13,27.13,197,3,66.0,338,66
3-1-4-7-1571845278,100040,516,334,64.73,99.50,34.77,34.77,199,1,48.0,513,48
5-3-6-15-1206642044,100046,516,351,68.02,92.00,23.98,23.98,184,16,57.0,191,57
8-6-5-13-954593127,100076,514,224,43.58,91.00,47.42,47.42,182,18,90.0,628,90
5-3-7-12-1291004740,100026,513,186,36.26,82.50,46.24,46.24,165,35,54.0,159,54
2-2-1-24-1556613200,100064,511,282,55.19,92.00,36.81,36.81,184,16,126.0,2047,126
9-9-5-14-177237225,200007,511,102,19.96,92.50,72.54,72.54,185,15,57.0,146,57
4-2-3-12-766954199,100059,510,352,69.02,92.00,22.98,22.98,184,16,81.0,511,81
6-2-3-24-1447513111,100086,508,167,32.87,76.00,43.13,43.13,152,48,117.0,1529,117
6-3-1-10-1012246687,100047,505,409,80.99,96.50,15.51,15.51,193,7,72.0,1548,72
9-7-6-11-464544906,200003,505,342,67.72,100.00,32.28,32.28,200,0,42.0,70,42
8-3-7-17-513004884,100050,504,263,52.18,72.00,19.82,19.82,144,56,78.0,658,78
3-8-6-14-2042785766,400015,504,427,84.72,100.00,15.28,15.28,200,0,90.0,811,90
3-7-1-11-898276227,200003,504,237,47.02,99.50,52.48,52.48,199,1,42.0,83,42
7-7-1-21-1814882885,100087,504,234,46.43,92.00,45.57,45.57,184,16,102.0,1746,102
3-2-2-20-2025704469,500001,503,238,47.32,99.50,52.18,52.18,199,1,78.0,306,78
9-2-8-21-1881463651,400013,502,436,86.85,99.50,12.65,12.65,199,1,108.0,5459,108
6-5-4-15-214351932,100087,501,136,27.15,75.50,48.35,48.35,151,49,102.0,1455,102
8-9-1-14-1874883054,100004,500,437,87.40,100.00,12.60,12.60,200,0,60.0,258,60
7-3-2-10-1416584296,100088,499,319,63.93,87.00,23.07,23.07,174,26,72.0,1388,72
9-8-2-13-219066775,100080,499,404,80.96,99.50,18.54,18.54,199,1,69.0,652,69
7-7-6-17-200771956,100069,499,216,43.29,98.00,54.71,54.71,196,4,114.0,1212,114
7-3-2-10-2074719989,100088,498,335,67.27,95.00,27.73,27.73,190,10,72.0,1401,72
7-7-6-11-690466460,100047,498,159,31.93,79.00,47.07,47.07,158,42,72.0,1065,72
7-6-1-13-231504762,100058,498,398,79.92,99.00,19.08,19.08,198,2,84.0,1150,84
9-8-6-17-1242162465,400011,497,232,46.68,88.00,41.32,41.32,176,24,90.0,488,90
8-7-9-21-770944568,100089,497,136,27.36,86.00,58.64,58.64,172,28,114.0,1133,114
5-2-2-22-1847295199,100052,496,280,56.45,94.50,38.05,38.05,189,11,120.0,659,120
9-6-1-17-142248435,100084,496,180,36.29,72.00,35.71,35.71,144,56,102.0,6127,102
5-4-9-14-567924337,100031,495,371,74.95,98.50,23.55,23.55,197,3,60.0,150,60
2-7-2-14-1774680729,100028,494,320,64.78,88.00,23.22,23.22,176,24,54.0,214,54
5-1-7-8-251577692,100014,493,469,95.13,100.00,4.87,4.87,200,0,54.0,398,54
7-5-3-21-961418465,100076,492,309,62.80,98.50,35.70,35.70,197,3,90.0,432,90
7-2-2-14-91281133,100034,492,363,73.78,100.00,26.22,26.22,200,0,72.0,281,72
8-6-2-13-1843684133,100067,492,243,49.39,88.00,38.61,38.61,176,24,90.0,1462,90
9-7-6-15-1365451981,100036,492,317,64.43,93.50,29.07,29.07,187,13,90.0,756,90
1-7-7-18-688536886,100085,492,389,79.07,99.00,19.93,19.93,198,2,84.0,788,84
8-4-4-18-1439488749,400017,491,280,57.03,92.00,34.97,34.97,184,16,117.0,702,117
7-9-6-16-1266175920,200053,491,291,59.27,96.00,36.73,36.73,192,8,72.0,215,72
1-5-2-9-571055565,100038,491,471,95.93,100.00,4.07,4.07,200,0,54.0,238,54
1-5-7-16-1773441529,100079,490,384,78.37,97.50,19.13,19.13,195,5,75.0,790,75
8-7-9-21-1368737165,100089,490,313,63.88,97.00,33.12,33.12,194,6,114.0,1225,114
8-3-7-16-770783359,100057,490,262,53.47,79.50,26.03,26.03,159,41,72.0,609,72
1-5-4-22-96441110,100070,490,296,60.41,89.50,29.09,29.09,179,21,117.0,3377,117
8-7-5-21-541684215,100097,490,373,76.12,100.00,23.88,23.88,200,0,84.0,234,84
5-3-1-15-483044778,100005,489,336,68.71,100.00,31.29,31.29,200,0,66.0,183,66
1-9-3-13-514491506,100037,489,435,88.96,99.50,10.54,10.54,199,1,66.0,424,66
2-9-1-14-1063106848,100016,489,439,89.78,100.00,10.22,10.22,200,0,66.0,381,66
1-5-3-16-907819418,100080,489,261,53.37,89.50,36.13,36.13,179,21,69.0,670,69
7-1-4-25-218971635,100086,488,242,49.59,96.50,46.91,46.91,193,7,117.0,1810,117
5-2-2-11-344181197,100010,488,370,75.82,100.00,24.18,24.18,200,0,54.0,175,54
5-6-7-10-1536756155,200024,487,281,57.70,96.00,38.30,38.30,192,8,72.0,251,72
7-4-2-16-555934745,100070,487,269,55.24,86.50,31.26,31.26,173,27,117.0,2530,117
3-5-2-11-872904032,100016,487,401,82.34,100.00,17.66,17.66,200,0,66.0,330,66
7-4-3-12-1974535500,100072,486,419,86.21,97.00,10.79,10.79,194,6,63.0,376,63
1-7-4-24-1429861372,100069,485,91,18.76,55.50,36.74,36.74,111,89,114.0,2105,114
8-2-4-17-682200173,100079,485,237,48.87,95.00,46.13,46.13,190,10,75.0,320,75
5-8-6-11-1777904397,100041,485,267,55.05,89.00,33.95,33.95,178,22,72.0,290,72
7-6-4-16-488111006,100063,485,220,45.36,96.50,51.14,51.14,193,7,99.0,991,99
8-2-6-12-1627456353,100081,485,312,64.33,91.00,26.67,26.67,182,18,72.0,1181,72
5-5-5-8-485347939,100037,485,430,88.66,100.00,11.34,11.34,200,0,66.0,479,66
8-8-3-11-1439211911,100081,485,334,68.87,82.50,13.63,13.63,165,35,72.0,824,72
7-1-3-20-501017721,100095,485,354,72.99,100.00,27.01,27.01,200,0,90.0,614,90
5-3-1-24-509087601,100051,484,200,41.32,88.50,47.18,47.18,177,23,105.0,1008,105
3-6-1-15-147201910,100013,483,357,73.91,100.00,26.09,26.09,200,0,72.0,380,72
8-8-4-15-2117013616,100048,483,394,81.57,100.00,18.43,18.43,200,0,66.0,514,66
6-8-5-11-933536039,100060,483,300,62.11,96.00,33.89,33.89,192,8,84.0,819,84
2-6-5-16-177073827,100031,483,383,79.30,99.50,20.20,20.20,199,1,60.0,164,60
9-9-1-18-441248759,100071,482,399,82.78,99.00,16.22,16.22,198,2,72.0,411,72
3-6-6-11-212613100,100010,481,251,52.18,100.00,47.82,47.82,200,0,54.0,168,54
5-1-4-14-1126623931,100075,479,302,63.05,91.00,27.95,27.95,182,18,84.0,5128,84
9-2-8-13-1585657993,200013,479,339,70.77,97.00,26.23,26.23,194,6,63.0,313,63
1-3-2-17-1049742986,100083,479,294,61.38,99.00,37.62,37.62,198,2,90.0,1205,90
1-3-2-11-363838111,100007,478,409,85.56,100.00,14.44,14.44,200,0,69.0,506,69
1-9-6-15-46445739,100090,478,245,51.26,94.50,43.24,43.24,189,11,81.0,1005,81
7-3-3-9-236264399,100056,478,435,91.00,100.00,9.00,9.00,200,0,54.0,386,54
4-7-4-25-224476969,100052,478,169,35.36,91.00,55.64,55.64,182,18,120.0,881,120
7-7-2-19-901662380,100055,478,269,56.28,89.00,32.72,32.72,178,22,84.0,648,84
7-3-3-9-1843271197,100056,477,404,84.70,100.00,15.30,15.30,200,0,54.0,419,54
7-7-4-10-798319515,200024,477,348,72.96,98.50,25.54,25.54,197,3,72.0,282,72
6-8-4-14-153083755,100005,477,308,64.57,93.50,28.93,28.93,187,13,66.0,160,66
1-5-8-16-1479075716,100033,477,382,80.08,98.50,18.42,18.42,197,3,60.0,236,60
5-5-5-16-441370125,100095,476,243,51.05,95.00,43.95,43.95,190,10,90.0,538,90
9-2-4-16-750272859,100041,475,334,70.32,100.00,29.68,29.68,200,0,72.0,344,72
2-8-1-11-2031077591,100008,475,341,71.79,99.50,27.71,27.71,199,1,42.0,112,42
9-9-1-22-1238001588,400014,475,218,45.89,75.50,29.61,29.61,151,49,108.0,3545,108
9-8-2-12-1478696304,100057,474,419,88.40,100.00,11.60,11.60,200,0,72.0,681,72
1-2-1-17-1695142973,100066,474,136,28.69,93.50,64.81,64.81,187,13,93.0,2561,93
9-5-5-14-707230507,100026,474,162,34.18,99.50,65.32,65.32,199,1,54.0,124,54
5-1-7-8-71141918,100014,473,428,90.49,100.00,9.51,9.51,200,0,54.0,356,54
7-4-4-17-1309031937,100069,472,68,14.41,39.50,25.09,25.09,79,121,114.0,1348,114
6-1-1-20-1020090918,100060,471,353,74.95,95.50,20.55,20.55,191,9,84.0,510,84
3-8-6-14-114707422,400015,471,315,66.88,100.00,33.12,33.12,200,0,90.0,788,90
2-3-2-13-702019655,100055,471,248,52.65,100.00,47.35,47.35,200,0,84.0,851,84
9-9-2-15-1344060501,200010,470,241,51.28,74.00,22.72,22.72,148,52,57.0,198,57
8-3-7-17-353828907,100050,470,335,71.28,99.00,27.72,27.72,198,2,78.0,733,78
7-1-8-19-724718132,100078,470,238,50.64,62.00,11.36,11.36,124,76,81.0,913,81
7-7-3-13-436887309,100023,470,390,82.98,100.00,17.02,17.02,200,0,54.0,182,54
7-3-7-12-1807905576,200010,469,414,88.27,100.00,11.73,11.73,200,0,57.0,262,57
6-9-3-15-1556928403,100013,469,249,53.09,93.50,40.41,40.41,187,13,72.0,274,72
7-4-2-17-1004829936,100065,468,240,51.28,96.00,44.72,44.72,192,8,108.0,1508,108
1-7-3-17-69988301,100043,468,432,92.31,100.00,7.69,7.69,200,0,78.0,922,78
5-9-1-13-393834643,100043,468,377,80.56,99.50,18.94,18.94,199,1,78.0,886,78
6-7-4-16-2063294303,100092,467,374,80.09,95.50,15.41,15.41,191,9,75.0,235,75
8-9-5-13-603289725,100046,465,374,80.43,100.00,19.57,19.57,200,0,57.0,163,57
2-5-8-8-271437695,200003,465,229,49.25,99.50,50.25,50.25,199,1,42.0,123,42
5-1-2-13-136882781,100023,464,370,79.74,98.50,18.76,18.76,197,3,54.0,162,54
7-4-1-15-956659108,100090,462,284,61.47,92.50,31.03,31.03,185,15,81.0,1102,81
3-1-4-23-585374752,400011,462,238,51.52,98.00,46.48,46.48,196,4,90.0,715,90
2-1-7-16-1412908815,100020,461,335,72.67,100.00,27.33,27.33,200,0,66.0,300,66
6-4-1-14-1584968085,100033,461,379,82.21,99.50,17.29,17.29,199,1,60.0,259,60
8-5-8-23-2040112734,400014,460,240,52.17,87.50,35.33,35.33,175,25,108.0,2240,108
8-6-3-15-604002527,100020,460,257,55.87,80.00,24.13,24.13,160,40,66.0,176,66
1-8-6-17-1229373246,100075,459,347,75.60,99.50,23.90,23.90,199,1,84.0,3513,84
1-3-3-18-1748501535,100067,459,286,62.31,96.50,34.19,34.19,193,7,90.0,1576,90
5-8-1-13-32017441,100028,457,360,78.77,99.50,20.73,20.73,199,1,54.0,220,54
3-7-7-11-440613330,200003,456,308,67.54,100.00,32.46,32.46,200,0,42.0,83,42
2-2-5-14-1738450380,100092,455,362,79.56,100.00,20.44,20.44,200,0,75.0,234,75
7-9-6-16-842483129,200053,453,232,51.21,48.50,-2.71,2.71,97,103,72.0,197,72
3-5-5-13-603288458,100038,453,356,78.59,100.00,21.41,21.41,200,0,54.0,113,54
3-1-5-8-1873407696,100072,453,405,89.40,100.00,10.60,10.60,200,0,63.0,744,63
8-4-4-14-773339364,100067,453,229,50.55,87.50,36.95,36.95,175,25,90.0,1012,90
5-6-5-12-2144313302,100074,451,394,87.36,100.00,12.64,12.64,200,0,54.0,164,54
2-8-3-12-1236387010,100074,451,335,74.28,99.50,25.22,25.22,199,1,54.0,168,54
7-4-1-20-1213922700,100085,451,212,47.01,90.00,42.99,42.99,180,20,84.0,691,84
7-4-3-22-1117183303,100094,450,270,60.00,96.50,36.50,36.50,193,7,99.0,479,99
6-9-1-23-1602551471,400012,449,178,39.64,96.00,56.36,56.36,192,8,108.0,1260,108
1-7-9-19-1157215491,100058,449,263,58.57,95.00,36.43,36.43,190,10,84.0,1020,84
7-9-2-12-828554559,200010,448,388,86.61,100.00,13.39,13.39,200,0,57.0,415,57
7-3-1-18-748176587,100007,447,377,84.34,100.00,15.66,15.66,200,0,69.0,253,69
7-7-5-12-1785047094,200015,446,161,36.10,93.00,56.90,56.90,186,14,54.0,203,54
9-7-6-15-513301727,100036,445,351,78.88,99.00,20.12,20.12,198,2,90.0,652,90
6-7-1-14-1222628537,100026,444,162,36.49,100.00,63.51,63.51,200,0,54.0,213,54
4-8-5-19-1041590966,100066,444,169,38.06,81.50,43.44,43.44,163,37,93.0,1891,93
8-8-5-16-1468297374,100034,443,204,46.05,98.50,52.45,52.45,197,3,72.0,188,72
5-9-2-8-596790968,100002,436,337,77.29,100.00,22.71,22.71,200,0,39.0,85,39
6-3-3-16-1409978840,100069,436,95,21.79,46.50,24.71,24.71,93,107,114.0,1822,114
7-2-1-12-670004952,200007,435,346,79.54,100.00,20.46,20.46,200,0,57.0,267,57
3-6-5-9-1213453586,100008,435,227,52.18,98.50,46.32,46.32,197,3,42.0,117,42
