关卡牌局代码,地形编号,开始次数,净过关次数,在线胜率(%),模拟胜率(%),差值(sim-online),绝对差值,模拟胜利,模拟失败,模拟平均步数,耗时ms,地形总牌数
8-9-8-13-1990078414,100072,581,184,31.67,71.50,39.83,39.83,143,57,63.0,366,63
8-5-2-14-693737470,100055,579,273,47.15,73.00,25.85,25.85,146,54,84.0,501,84
8-2-4-17-618716703,100079,579,220,38.00,83.00,45.00,45.00,166,34,75.0,302,75
4-1-9-19-136779102,100078,579,285,49.22,78.50,29.28,29.28,157,43,81.0,1326,81
1-9-6-15-58092659,100090,579,99,17.10,26.50,9.40,9.40,53,147,81.0,908,81
6-3-6-14-737104676,100031,577,427,74.00,88.50,14.50,14.50,177,23,60.0,152,60
9-6-8-9-1703699642,100081,577,506,87.70,99.00,11.30,11.30,198,2,72.0,1702,72
9-3-1-10-443873297,200012,576,372,64.58,99.50,34.92,34.92,199,1,54.0,275,54
8-7-3-20-285475555,100051,576,79,13.72,37.00,23.28,23.28,74,126,105.0,1245,105
8-5-9-16-1461666131,100013,576,322,55.90,95.50,39.60,39.60,191,9,72.0,214,72
3-6-1-11-659043157,200003,576,321,55.73,91.50,35.77,35.77,183,17,42.0,82,42
4-9-9-15-1955645568,100041,576,333,57.81,95.50,37.69,37.69,191,9,72.0,353,72
4-9-6-8-44166591,100009,575,494,85.91,100.00,14.09,14.09,200,0,42.0,105,42
7-3-1-18-1566611557,100007,575,431,74.96,92.00,17.04,17.04,184,16,69.0,271,69
5-3-3-16-1152204891,100065,575,96,16.70,26.00,9.30,9.30,52,148,108.0,1121,108
8-1-3-19-1393871933,100067,575,310,53.91,76.00,22.09,22.09,152,48,90.0,1104,90
9-5-2-8-906547084,100009,573,266,46.42,100.00,53.58,53.58,200,0,42.0,111,42
8-2-4-25-341102355,100052,573,60,10.47,58.00,47.53,47.53,116,84,120.0,436,120
8-7-2-15-2137836830,200024,572,367,64.16,97.50,33.34,33.34,195,5,72.0,190,72
4-6-5-12-1290558717,200012,571,286,50.09,99.50,49.41,49.41,199,1,54.0,160,54
9-9-4-14-1771645018,100057,569,348,61.16,86.00,24.84,24.84,172,28,72.0,610,72
8-4-5-18-73748193,100061,568,193,33.98,82.50,48.52,48.52,165,35,102.0,646,102
3-2-8-13-759400437,100010,566,118,20.85,55.00,34.15,34.15,110,90,54.0,136,54
1-3-5-11-646066862,100010,565,333,58.94,100.00,41.06,41.06,200,0,54.0,277,54
2-5-5-13-1265654877,100020,565,212,37.52,63.00,25.48,25.48,126,74,66.0,214,66
1-8-6-10-319697592,100040,563,334,59.33,100.00,40.67,40.67,200,0,48.0,426,48
8-3-7-17-61274456,100050,562,387,68.86,99.00,30.14,30.14,198,2,78.0,700,78
1-8-5-18-531909741,100084,561,335,59.71,96.00,36.29,36.29,192,8,102.0,5208,102
9-9-1-18-68781924,100071,561,426,75.94,91.00,15.06,15.06,182,18,72.0,503,72
7-7-6-11-1966763356,100047,561,368,65.60,96.00,30.40,30.40,192,8,72.0,1261,72
6-5-3-15-1164051884,100066,560,202,36.07,75.00,38.93,38.93,150,50,93.0,2406,93
8-5-3-15-617262882,100092,558,459,82.26,97.50,15.24,15.24,195,5,75.0,196,75
6-9-1-23-332702578,400012,556,303,54.50,73.00,18.50,18.50,146,54,108.0,1110,108
8-1-8-16-978548968,100060,554,429,77.44,96.00,18.56,18.56,192,8,84.0,633,84
9-9-2-15-732066835,200010,553,373,67.45,81.00,13.55,13.55,162,38,57.0,291,57
7-4-1-20-342291105,100085,551,165,29.95,46.00,16.05,16.05,92,108,84.0,476,84
9-7-4-12-338306416,100037,550,194,35.27,58.00,22.73,22.73,116,84,66.0,260,66
3-9-1-10-836176971,100010,548,327,59.67,100.00,40.33,40.33,200,0,54.0,276,54
8-5-4-13-1807930121,200013,548,405,73.91,92.00,18.09,18.09,184,16,63.0,173,63
